LL,FC,ρnorm,ωnorm,C,T,η/Civ,qu,Cement type,CEM_I,CEM_II,CEM_III,,,,,
28.5,99.2,0.951871658,0.763888889,3,0,20.725,760,CEM-II,0,1,0,,,,,
28.5,99.2,0.954545455,0.868055556,3,0,20.555,665,CEM-II,0,1,0,,,,,
28.5,99.2,0.946524064,1.145833333,3,0,21.068,376,CEM-II,0,1,0,,,,,
28.5,99.2,0.930481283,1.25,3,0,22.122,305,CEM-II,0,1,0,,,,,
28.5,99.2,0.836898396,0.763888889,3,0,29.072,189,CEM-II,0,1,0, ,,,,
28.5,99.2,0.871657754,0.868055556,3,0,26.316,297,CEM-II,0,1,0,,,,,
28.5,99.2,0.951871658,0.763888889,3,7,20.725,1382,CEM-II,0,1,0,,,,,
28.5,99.2,0.959893048,0.868055556,3,7,20.217,1093,CEM-II,0,1,0,,,,,
28.5,99.2,0.949197861,1.145833333,3,7,20.896,762,CEM-II,0,1,0,,,,,
28.5,99.2,0.93315508,1.25,3,7,21.944,649,CEM-II,0,1,0,,,,,
28.5,99.2,0.839572193,0.763888889,3,7,28.852,331,CEM-II,0,1,0,,,,,
28.5,99.2,0.871657754,0.868055556,3,7,26.316,603,CEM-II,0,1,0,,,,, 
28.5,99.2,0.951871658,0.763888889,3,28,20.725,1333,CEM-II,0,1,0,,,,,
28.5,99.2,0.959893048,0.868055556,3,28,20.217,1005,CEM-II,0,1,0,,,,,
28.5,99.2,0.943850267,1.145833333,3,28,21.241,759,CEM-II,0,1,0,,,,,
28.5,99.2,0.930481283,1.25,3,28,22.122,788,CEM-II,0,1,0,,,,,
28.5,99.2,0.839572193,0.763888889,3,28,28.852,373,CEM-II,0,1,0,,,,,
28.5,99.2,0.871657754,0.868055556,3,28,26.316,642,CEM-II,0,1,0,,,,,
28.5,99.2,0.957219251,0.763888889,3,90,20.386,1766,CEM-II,0,1,0,,,,,
28.5,99.2,0.959893048,0.868055556,3,90,20.217,1423,CEM-II,0,1,0,,,,,
28.5,99.2,0.943850267,1.145833333,3,90,21.241,977,CEM-II,0,1,0,,,,,
28.5,99.2,0.927807487,1.25,3,90,22.301,966,CEM-II,0,1,0,,,,,
28.5,99.2,0.839572193,0.763888889,3,90,28.852,531,CEM-II,0,1,0,,,,,
28.5,99.2,0.877005348,0.868055556,3,90,25.912,937,CEM-II,0,1,0,,,,,
28.5,99.2,0.949197861,0.763888889,6,0,10.835,786,CEM-II,0,1,0,,,,,
28.5,99.2,0.949197861,0.868055556,6,0,10.835,634,CEM-II,0,1,0,,,,,
28.5,99.2,0.946524064,1.145833333,6,0,10.924,440,CEM-II,0,1,0,,,,,
28.5,99.2,0.927807487,1.25,6,0,11.558,354,CEM-II,0,1,0,,,,,
28.5,99.2,0.834224599,0.763888889,6,0,15.156,224,CEM-II,0,1,0,,,,,
28.5,99.2,0.863636364,0.868055556,6,0,13.941,317,CEM-II,0,1,0,,,,,
28.5,99.2,0.949197861,0.763888889,6,7,10.835,1916,CEM-II,0,1,0,,,,,
28.5,99.2,0.962566845,0.868055556,6,7,10.4,1940,CEM-II,0,1,0,,,,,
28.5,99.2,0.946524064,1.145833333,6,7,10.924,1102,CEM-II,0,1,0,,,,,
28.5,99.2,0.92513369,1.25,6,7,11.651,974,CEM-II,0,1,0,,,,,
28.5,99.2,0.834224599,0.763888889,6,7,15.156,695,CEM-II,0,1,0,,,,,
28.5,99.2,0.86631016,0.868055556,6,7,13.835,1026,CEM-II,0,1,0,,,,,
28.5,99.2,0.951871658,0.763888889,6,28,10.747,2198,CEM-II,0,1,0,,,,,
28.5,99.2,0.957219251,0.868055556,6,28,10.573,1912,CEM-II,0,1,0,,,,,
28.5,99.2,0.941176471,1.145833333,6,28,11.103,1250,CEM-II,0,1,0,,,,,
28.5,99.2,0.930481283,1.25,6,28,11.466,1085,CEM-II,0,1,0,,,,,
28.5,99.2,0.834224599,0.763888889,6,28,15.156,830,CEM-II,0,1,0,,,,,
28.5,99.2,0.86631016,0.868055556,6,28,13.835,1250,CEM-II,0,1,0,,,,,
28.5,99.2,0.951871658,0.763888889,6,90,10.747,2846,CEM-II,0,1,0,,,,,
28.5,99.2,0.957219251,0.868055556,6,90,10.573,2527,CEM-II,0,1,0,,,,,
28.5,99.2,0.946524064,1.145833333,6,90,10.924,1659,CEM-II,0,1,0,,,,,
28.5,99.2,0.92513369,1.25,6,90,11.651,1436,CEM-II,0,1,0,,,,,
28.5,99.2,0.844919786,0.763888889,6,90,14.705,1050,CEM-II,0,1,0,,,,,
28.5,99.2,0.868983957,0.868055556,6,90,13.729,1266,CEM-II,0,1,0,,,,,
